Nombre;Símbolo;Fecha de apertura;Tipo;Precio de entrada;Precio actual;Val. mercado;% B/P neto;B/P neto
Cie Automotive;CIEA;19/03/2020;Compra;10,16;15,59;96.670,28 €;53,44%;33.670,28 €
MásMóvil;MASM;19/03/2020;Compra;13;22,72;321.575,39 €;74,77%;137.575,39 €
Red Eléctrica;REE;19/03/2020;Compra;15,215;17,023;226.003,68 €;11,88%;24.003,68 €
Cellnex Telecom;CLNX;19/03/2020;Compra;38,02;57,22;337.119,41 €;50,50%;113.119,41 €
Amadeus;AMA;19/03/2020;Compra;42,48;47,475;103.935,38 €;11,76%;10.935,38 €
Aena;AENA;19/03/2020;Compra;105,3;121,4;134.888,89 €;15,29%;17.888,89 €
Ferrovial;FER;19/03/2020;Compra;17,78;22,97;82.646,06 €;29,19%;18.673,62 €
Inditex;ITX;19/03/2020;Compra;20,75;23,07;58.925,78 €;11,18%;5.925,78 €
